gt type, IBERT V7 GTH
device, XC7VX690T
sw version, 14.7 P.20131013 (Build 14700.13.286.464)
samples per ui, 65
ui width, 1
date, 05/08/2014
time, 0:55 PM CEST
voltage interval, 1
sweep test settings, RX Sampling Point, -32, 32, 
sweep test settings, TX Diff Swing, 250 mV (0000), 250 mV (0000), 
sweep test settings, TX Pre-Cursor, 0.00 dB (00000), 0.00 dB (00000), 
sweep test settings, TX Post-Cursor, 0.00 dB (00000), 0.00 dB (00000), 
=======================================================
Iteration, Elapsed Time, TX Diff Swing, TX Pre-Cursor, TX Post-Cursor, Voltage, RX Sampling Point(tap), Link, ES_VERT_OFFSET, ES_HORZ_OFFSET, BER
1, 00:00:3, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -32, 1, 0x7f, 0xfe0,  2.528E-001
2, 00:00:3, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -31, 1, 0x7f, 0xfe1,  2.516E-001
3, 00:00:3, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -30, 1, 0x7f, 0xfe2,  2.491E-001
4, 00:00:3, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -29, 1, 0x7f, 0xfe3,  2.510E-001
5, 00:00:3, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -28, 1, 0x7f, 0xfe4,  2.467E-001
6, 00:00:3, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -27, 1, 0x7f, 0xfe5,  1.889E-001
7, 00:00:4, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -26, 1, 0x7f, 0xfe6,  1.829E-001
8, 00:00:4, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -25, 1, 0x7f, 0xfe7,  1.486E-001
9, 00:00:4, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -24, 1, 0x7f, 0xfe8,  1.053E-001
10, 00:00:4, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -23, 1, 0x7f, 0xfe9,  1.385E-002
11, 00:00:4, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -22, 1, 0x7f, 0xfea,  5.077E-002
12, 00:00:4, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -21, 1, 0x7f, 0xfeb,  5.065E-003
13, 00:00:4, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -20, 1, 0x7f, 0xfec,  2.599E-006
14, 00:00:4, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -19, 1, 0x7f, 0xfed,  2.285E-003
15, 00:00:4, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -18, 1, 0x7f, 0xfee,  9.743E-005
16, 00:00:4, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -17, 1, 0x7f, 0xfef,  2.037E-005
17, 00:00:4, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -16, 1, 0x7f, 0xff0,  3.427E-008
18, 00:00:5, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -15, 1, 0x7f, 0xff1,  4.619E-008
19, 00:00:5, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -14, 1, 0x7f, 0xff2,  2.980E-009
20, 00:00:5, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -13, 1, 0x7f, 0xff3,  1.490E-009
21, 00:00:5, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -12, 1, 0x7f, 0xff4,  1.490E-009
22, 00:00:5, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -11, 1, 0x7f, 0xff5,  1.490E-009
23, 00:00:5, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -10, 1, 0x7f, 0xff6,  1.490E-009
24, 00:00:5, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -9, 1, 0x7f, 0xff7,  1.490E-009
25, 00:00:6, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -8, 1, 0x7f, 0xff8,  1.490E-009
26, 00:00:6, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -7, 1, 0x7f, 0xff9,  1.490E-009
27, 00:00:6, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -6, 1, 0x7f, 0xffa,  1.490E-009
28, 00:00:6, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -5, 1, 0x7f, 0xffb,  1.490E-009
29, 00:00:6, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -4, 1, 0x7f, 0xffc,  1.490E-009
30, 00:00:6, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -3, 1, 0x7f, 0xffd,  1.490E-009
31, 00:00:6, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -2, 1, 0x7f, 0xffe,  1.490E-009
32, 00:00:6, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -1, 1, 0x7f, 0xfff,  1.490E-009
33, 00:00:7, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 0, 1, 0x7f, 0x0,  1.490E-009
34, 00:00:7, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 1, 1, 0x7f, 0x1,  1.490E-009
35, 00:00:7, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 2, 1, 0x7f, 0x2,  1.490E-009
36, 00:00:7, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 3, 1, 0x7f, 0x3,  1.490E-009
37, 00:00:7, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 4, 1, 0x7f, 0x4,  1.490E-009
38, 00:00:7, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 5, 1, 0x7f, 0x5,  1.490E-009
39, 00:00:7, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 6, 1, 0x7f, 0x6,  1.490E-009
