gt type, IBERT V6 GTX
device, XC6VLX240T
sw version, 14.6 P.68d (Build 14600.13.159.658)
date, 09/18/2014
time, 0:24 PM CEST
voltage interval, 
sweep test settings, RX Sampling Point, 0, 127, 
sweep test settings, TX Diff Swing, 590 mV (0110), 590 mV (0110), 
sweep test settings, TX Pre-Emphasis, 0.15 dB (0000), 0.15 dB (0000), 
sweep test settings, TX Post-Emphasis, 0.18 dB (00000), 0.18 dB (00000), 
sweep test settings, RX Eq, 0, 0, 
=======================================================
Iteration, Elapsed Time, TX Diff Swing, TX Pre-Emphasis, TX Post-Emphasis, RX Eq, RX Sampling Point(tap), Link, # Bits, # Errs, BER
1, 00:00:2, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 0, 0,  7.170E010,  7.170E010, 1
2, 00:00:5, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 2, 1, 4901566320, 442491739,  9.028E-002
3, 00:00:6, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 4, 0,  4.416E012,  4.416E012, 1
4, 00:00:7, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 6, 0,  4.420E012,  4.420E012, 1
5, 00:00:8, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 8, 1, 4902314360, 439691965,  8.969E-002
6, 00:00:9, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 10, 1, 4901549760, 441671421,  9.011E-002
7, 00:00:10, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 12, 1, 4895955360, 438322980,  8.953E-002
8, 00:00:11, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 14, 1, 4896800140, 440147606,  8.988E-002
9, 00:00:13, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 16, 0,  4.419E012,  4.419E012, 1
10, 00:00:14, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 18, 0,  4.419E012,  4.419E012, 1
11, 00:00:15, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 20, 1, 4907232840, 470257330,  9.583E-002
12, 00:00:16, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 22, 0,  4.398E012,  4.398E012, 1
13, 00:00:17, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 24, 1, 4906442020, 471415328,  9.608E-002
14, 00:00:18, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 26, 1, 4904821420, 499667669,  1.019E-001
15, 00:1:2, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 28, 0,  6.415E010,  6.415E010, 1
16, 00:1:3, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 30, 1, 4912228200, 572889647,  1.166E-001
17, 00:1:4, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 32, 0,  4.429E012,  4.429E012, 1
18, 00:1:5, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 34, 0,  4.434E012,  4.434E012, 1
19, 00:1:6, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 36, 0,  4.427E012,  4.427E012, 1
20, 00:1:7, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 38, 0,  4.424E012,  4.424E012, 1
21, 00:1:8, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 40, 0,  4.414E012,  4.414E012, 1
22, 00:1:10, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 42, 0,  4.418E012,  4.418E012, 1
23, 00:1:11, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 44, 0,  4.424E012,  4.424E012, 1
24, 00:1:12, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 46, 0,  4.247E012,  4.247E012, 1
25, 00:1:13, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 48, 1, 4904862000, 107524922,  2.192E-002
26, 00:1:14, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 50, 1, 4919939060, 25674850,  5.219E-003
27, 00:1:15, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 52, 1, 4668416620, 5246280,  1.124E-003
28, 00:1:16, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 54, 1, 4910309960, 1139117,  2.320E-004
29, 00:1:17, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 56, 1, 4925720960, 180700,  3.668E-005
30, 00:1:18, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 58, 1, 4903029780, 6565,  1.339E-006
31, 00:1:20, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 60, 1, 4907316700, 1284,  2.617E-007
32, 00:1:21, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 62, 1, 4909439580, 16,  3.259E-009
33, 00:1:22, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 64, 1, 4911365780, 0,  2.036E-010
34, 00:1:23, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 66, 1, 4899972960, 0,  2.041E-010
35, 00:1:24, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 68, 1, 4908829880, 0,  2.037E-010
36, 00:1:25, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 70, 1, 4896530220, 0,  2.042E-010
37, 00:1:26, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 72, 1, 4910436040, 0,  2.036E-010
38, 00:1:27, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 74, 1, 4891271420, 0,  2.044E-010
